Timestamp,Name,Vendor,Organization,Website,Previous-Submission,Email,Phone,Employer,Job-Title,Biography,Co-presenter,Co-presenter-Name(s),Multi-Session,Multi-Session-Number,"Availability [Thursday, October 13th - Session 1]","Availability [Thursday, October 13th - Session 2]","Availability [Thursday, October 13th - Session 3]","Availability [Friday, October 14th - Session 4]","Availability [Friday, October 14th - Session 5]",Session,Presentation-Title,Objectives,Presentation-Abstract,Presentation-Description,Conference-Strand,File-Upload,Newsletter,Groups - Proposals - Send Status
2010,Tracy Mead,,,,,,,,,"Tracy Mead is the Executive Director of Education and Life Training Center, a non-profit specializing in low-cost work skills training for adults. He works to create a more equitable community.",TRUE,Chelsea Stewart,,,,,,,,Session 1,Creating an Inspiring and Inclusive Environment for Learners,PD Self Assessment Descriptors: 6.1,What messages are the physical environment of your program sending to your learners? Who do your walls reflect? This session will be a discussion on successful and inspiring environments and the potential to impact learner success.,,General Teaching,,,
2010,Lily Delaney,,,,,,,,,Lily Delaney teaches ESL at Spring International Language Center. She holds an MA in Linguistics/TESOL from the University of Colorado Boulder.,TRUE,Marcela M. Martinez,,,,,,,,Session 1,Tips and Techniques for Teaching Pronunciation,PD Self Assessment Descriptors: 7e.5.7,"This presentation introduces a selection of pronunciation challenges speakers of other languages tend to have with American English. Examples of techniques and activities that can help learners address pronunciation issues will be provided. Participants will leave with some phonetic knowledge, pronunciation tips, and a handout of new ideas and techniques.",,ESL,,,
2010,Gully Stanford,,,,,,,,,"Gully Stanford, born in Ireland and raised in the regional theatre movement, served on the State Board of Education and joined the Colorado Department of Higher Education in 2004.",,,,,,,,,,Session 1,Introduction to College In Colorado,"PD Self Assessment Descriptors: 2.3.6, 3.7, 9.9","This session will introduce participants to “College In Colorado,” a division of the Colorado Department of Higher Education. While providing a programmatic overview, participants will also learn about the College In Colorado website with an emphasis on its latest additions, “Career Planning” and “Workforce/Adults in Transition.",,Workforce,,,
2010,Mike Johnson,,,,,,,,,"Mike Johnson is a Product Manager of Adult Assessments for CTB/McGraw-Hill. As the TABE Product Manager, he is responsible for guiding the development of all the TABE family of assessments to meet the needs of both adult learners in ESL and basic skills programs.",,,,,,,,,,Session 1,Improve Reading Comprehension and TABE Reading Scores with Lexile Measures,"PD Self Assessment Descriptors: 5.5, 7a.3.2",CTB/McGraw-Hill and MetaMetrics have recently completed a research project linking TABE Reading results to Lexile measures to improve adult literacy comprehension and retention. Participants will learn how Lexile measures can be used to connect learners with abilityappropriate instructional and leisure reading materials for effective reading practice via a free web resource.,,ABE/ASE/GED,,,
2010,Paulette Church,,,,,,,,,Paulette Church is the Executive Director of the Durango Adult Education Center and has served on the CAEPA and MPAEA boards. She was awarded the William Funk Award for Building Stronger Communities by the Colorado Nonprofit Association this year.,TRUE,"Stephanie Moran, Nan Uhl",,,,,,,,Session 1,Creating and Sustaining a Successful College Transition Program,"PD Self Assessment Descriptors: 2.3.6, 3.7","This team presentation outlines the elements of a successful transitional program that supports GED and high school graduates into a community college setting. This presentation focuses on how to help learners navigate the college system, score higher on the Accuplacer tests to leapfrog past developmental-level courses, and develop stronger study skills. Funding will also be discussed.",,ABE/ASE/GED,,,
2010,Peggy Bruce,TRUE,unknown,,,,,,,"Peggy Bruce is an ESL and computer teacher at the Aurora Language Center, which is in partnership with the Community College of Aurora.",,,,,,,,,,Session 1,"Oxford Picture Dictionary, Second Edition: Defining Vocabulary Development",PD Self Assessment Descriptors: 7e.5.5,"Come learn about key vocabulary learning strategies to help learners develop their active vocabulary. Explore the meaningful contexts, rich visual support and authentic language tasks of the second edition of the Oxford Picture Dictionary. A vocabulary research bibliography and samples will be provided.",,ESL,,,
2010,Dr. Karen Kaminski,,,,,,,,,Dr. Karen Kaminski is Chair of the Adult Education and Training Masters at CSU. Her research focuses on effective design of instruction and assessment of learning.,,,,,,,,,,Session 1,Learning and the Brain: Designing Lessons to Maximize Application and Transfer,PD Self Assessment Descriptors: 2.3.1,"During this session, participants will gain insight into how the brain functions and how we, as facilitators of learning, can use this information to maximize application of new knowledge and skills and transference to new settings. Participants will gain new tools they can immediately apply in the classroom.",,General Teaching,,,
2010,Bradley Olufs,,,,,,,,,"Bradley Olufs joined Wonderlic in 2004 and currently works with Adult Basic Education and WIA programs to efficiently place, track and retain students who can benefit from education programs.",TRUE,,,,,,,,,Session 1,Finding the Potholes,PD Self Assessment Descriptors: none,Assessment is the cornerstone of objective measurement and performance success. This session will cover proper assessment administration and how to use the results for both the individual student and program improvement. The General Assessment of Instructional Needs (GAIN) assessment will be showcased as an example of confidently obtaining the diagnostics needed to help learners quickly fill their individual skill gaps and measure program effectiveness.,,Admin,,,
2010,Barbara Sample,,,,,,,,,"Barbara Sample is VP and Director of Educational Services at Spring Institute. She provides training and curriculum on cultural adjustment, mental health, health literacy, pre-employment ESL, and cross-cultural communication.",TRUE,Suzanne Saenz,,,,,,,,Session 1,Developing Problem-Solving Skills Using Case Studies,"PD Self Assessment Descriptors: 2.3.7, 6.3","People who have limited English skills often find themselves in challenging situations. Lack of cross-cultural understanding often leads to critical incidents, situations where communication has broken down because a language or cultural norm has not been understood or taken into consideration. This session deals with incorporating case studies into the ESL lesson as a strategy for developing skills to avoid and solve problems—particularly at work. Session participants will work through several example exercises, discuss modifications to deal with language limitations, and write at least one case study which could be used in their own classroom.",,ESL,,,
2010,Gaye Horne,,,,,,,,,Gaye Horne is the Program Director for Spring Institute. She is involved in action research and program development.,TRUE,Erin Kimmel,,,,,,,,Session 1,Wiki Media,"PD Self Assessment Descriptors: 9.1, 9.4, 10.4","This workshop will focus on the use of technology, specifically wiki use, for supporting communication and shared information among program staff and teachers.",,Admin,,,
