Timestamp,Name,Vendor,Organization,Website,Previous-Submission,Email,Phone,Employer,Job-Title,Biography,Co-presenter,Co-presenter-Name(s),Multi-Session,Multi-Session-Number,"Availability [Thursday, October 13th - Session 1]","Availability [Thursday, October 13th - Session 2]","Availability [Thursday, October 13th - Session 3]","Availability [Friday, October 14th - Session 4]","Availability [Friday, October 14th - Session 5]",Session,Presentation-Title,Objectives,Presentation-Abstract,Presentation-Description,Conference-Strand,File-Upload,Newsletter,Groups - Proposals - Send Status
2008,Catherine King,,,,,,,,,,,,,,,,,,,Session 1,So You Want To Be A GED Teacher,"7a.1, 10.8.1","This workshop will provide new GED teachers with an overview of the 23 objectives listed in EDU 133 for the Literacy Instruction Authorization (LIA). The focus of this session will be a general overview of GED learners and classroom best practices, as well as instructional strategies.",,General Teaching ABE/GED,,,
2008,Orly Penny,,,,,,,,,,TRUE,Andrea Heyman,,,,,,,,Session 1,Cultural Awareness In The Classroom,"2.3.7, 5.5, 6.2",This interactive workshop will explore the cultural differences among students from various countries. It will open up a discussion about the effect these differences have on students’ integration into American culture. It will offer ideas teachers can implement in their classroom to facilitate cultural understanding.,,ESL,,,
2008,Dorothea Steinke,,,,,,,,,,,,,,,,,,,Session 1,MATH: Applying The Part/Whole Concept,"7a.2.2, 7a.3.1, 10.9","Participants will learn how the Part/Whole relationship applies to more advanced math problems: geometry, fractions, decimals, percents, proportions (equivalent fractions).",,Math,,,
2008,Karin Hostetter,,,,,,,,,,,,,,,,,,,Session 1,Creating A Successful And Rewarding PACT Program,"2.3.14, 8.1, 8.3, 8.5.1&.2, 8.6","Summer Scholars sees PACT time as the most important part of its family literacy program and has structured it as a place for parents to learn skills which can be used at home. Discover implementation options, activities, and goals for your program’s successful PACT time.",,Family Literacy,,,
2008,Richard Hoskin,,,,,,,,,,TRUE,"Karen Bowen, Betty Wilson",,,,,,,,Session 1,Beyond The Now Part 1: Empowering Youth and Adults To Set and Achieve Personal Goals For a Bright Future,"2.3.4, 2.3.10, 2.3.15, 2.3.17, 4.5","Corrections educator, strategy coach and applied anthropologist present the design of an emerging, multi-disciplinary study of student outcomes (as evident in measures of student engagement, educational achievement, attitudes and behaviors) associated with a student goal-setting initiative. The session focuses on goal-setting studies and preliminary, anecdotal results of the application of a self directed, software-supported, 7-step life success planning process with adult students. The objectives of this session are to (a) Summarize the design of the study, preliminary anecdotal insights from early participants, and projected impact on student learning, attitudes and behavior; (b) explain the process and tools employed; (c) describe how personal planning can motivate better learning, improve task accomplishment, and ultimately inspire success, specifically as utilized in adult education.",,General Teaching ABE/GED,,,
2008,Paulette Church,,,,,,,,,,,,,,,,,,,Session 1,Building Strong Collaborations,"3.1, 3.5","This seminar will explain the key components and strategies used to build and maintain lasting collaborations based upon the experiences of the presenter and national best practices. Successful collaborations bring new resources to adult education and family literacy learners, staff, and programs that far exceed the challenges involved in creating and maintaining them.",,Administration & Advocacy,,,
2008,Kathy St. John,,,,,,,,,,TRUE,Barbara Sutton,,,,,,,,Session 1,Thinkfinity Literacy Network,"9.1, 9.5, 10.3, 10.5","What happened to Verizon Literacy Network, the wonderful free online resource many ABE/literacy programs used and enjoyed the past few years? It is not gone-it has just morphed into a larger and more comprehensive website. This workshop demonstrates the new and improved resources available to programs.",,Professional Development / LIA,,,
2008,Owen Main,,,,,,,,,,,,,,,,,,,Session 2,Process-Based Education For Adults In Colorado: The Lindamood-Bell Experience,"6.10, 7a.2.1, 7a.3.2, 7e.5.3",This presentation will discuss the results from a pilot project that included centers for adult literacy in Colorado. Extensive professional development and a restructured intervention resulted in substantial gains for the students. The instructional programs used are aligned to a theory of cognition that ties imagery to reading and comprehension.,,Reading & Writing,,,
2008,Dr. Jim Erekson,,,,,,,,,,TRUE,Candace Sparks,,,,,,,,Session 2,Increasing Literacy Skills In The English Language Learner With Low Native Language Literacy Skills,"2.3.8, 7e.4.2, 7e.5.3, 7e.5.2, 6.4","Adult ESL students often have very low native language reading skills that can have a negative impact on English language development. Recent research stresses the importance of reading development coupled with oral language development. This workshop will model how to introduce non-literate, pre-literate and low-literate learners to reading in unison with oral language.",,ESL,,,
2008,Kelly Leid,,,,,,,,,,,,,,,,,,,Session 2,The P-20 Initiative—Aligning Colorado’s Educational System To Economic Development,,Colorado has begun a new dialogue about educational reform. This session will bring participants up to speed on this new concept directing educational reform efforts to better prepare our children for life after high school. The session will review the Delivery System Components and how they impact education at all levels in Colorado,,Administration & Advocacy,,,
